videoId,publishedAt,likeCount,video_title,hashtags,text,label sentiment,clean_teks,stem_teks
b5ibmpuS0L4,2025-06-06 09:37:47+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,wah ini sih mobil kesukaan aku nih yang manual yang tahun 2024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,negatif,mobil kesukaan manual 2024 putih terbaru suka mobilnya nama suka,mobil suka manual 2024 putih baru suka mobil nama suka
b5ibmpuS0L4,2025-04-15 13:18:52+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,mobil toyota agya ,negatif,mobil toyota agya,mobil toyota agya
b5ibmpuS0L4,2025-03-04 13:54:29+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,harganya berapa ni bos,netral,ni bos,ni bos
b5ibmpuS0L4,2024-11-03 08:30:43+00:00,2,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,sayang banget buat videonya terlalu cepat terlalu pendek untuk lihat interiornya ,netral,sayang videonya cepat pendek lihat interiornya,sayang video cepat pendek lihat interior
6b1MGWf2YmE,2025-06-08 10:11:37+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,lah emang berapa harga pasang plat begitu?,netral,harga pasang,harga pasang
6b1MGWf2YmE,2025-06-07 12:30:34+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,di dubai udah disembah itu mah,positif,dubai disembah,dubai sembah
6b1MGWf2YmE,2025-06-07 11:26:53+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"pas di tilang , cuma beli 150rb an sama tukang plat ",netral,pas tilang 150rb tukang,pas tilang 150rb tukang
6b1MGWf2YmE,2025-06-06 11:44:26+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,buat apa tpi mobil kodok wkwkw,positif,mobil kodok,mobil kodok
6b1MGWf2YmE,2025-06-05 12:20:19+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"wow mobil mu bagus 

wow plate mu bagus",negatif,wow mobil mu wow plate mu,wow mobil mu wow plate mu
6b1MGWf2YmE,2025-05-21 06:33:02+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tatataapi bang,netral,tatataapi,tatataapi
6b1MGWf2YmE,2025-05-19 15:00:19+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,netral,peduli mobil gtr r35 syukur seneng hehe,peduli mobil gtr r35 syukur neng hehe
6b1MGWf2YmE,2025-05-16 07:20:05+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,p by one(b1),netral,p one,p one
6b1MGWf2YmE,2025-05-16 01:58:31+00:00,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat.",positif,saldo asetnya hubungan miskin menilai kekayaan nomor,saldo aset hubung miskin nilai kaya nomor
6b1MGWf2YmE,2025-05-11 02:41:47+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,nah ini asli,negatif,asli,asli
6b1MGWf2YmE,2025-05-10 08:23:44+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,bukan brio terbaru pula tuh. itu kan brio  tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,netral,brio terbaru brio astagah mahalan nopolnya drpd service bulanannya dikalikan 12,brio baru brio astagah mahal nopolnya drpd service bulan kali 12
6b1MGWf2YmE,2025-05-06 03:53:27+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,netral,miskin bersyukurlah,miskin syukur
6b1MGWf2YmE,2025-05-05 07:29:07+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,nggak mahal kalo masih saingan sama org susah coba kedubai saingannya org beneran kaya,netral,mahal saingan org susah kedubai saingannya org beneran,mahal saing org susah kedubai saing org beneran
6b1MGWf2YmE,2025-05-05 06:42:17+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,gak mungkin,netral,,
6b1MGWf2YmE,2025-05-04 11:41:52+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio lcgc...,positif,nomor harga miliar mobil brio mobil koeniseg lambo brio lcgc,nomor harga miliar mobil brio mobil koeniseg lambo brio lcgc
6b1MGWf2YmE,2025-05-04 07:08:57+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"mobil mobil ngebut tu ga cocok buat dijalan padat dan rame, entar malah nabrak bisa-bisa",positif,mobil mobil ngebut cocok dijalan padat rame entar nabrak bisa-bisa,mobil mobil ngebut cocok jalan padat rame entar nabrak bisa
6b1MGWf2YmE,2025-05-03 01:24:53+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,netral,sprot car,sprot car
6b1MGWf2YmE,2025-04-27 00:05:41+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,wow,netral,wow,wow
6b1MGWf2YmE,2025-04-25 08:08:34+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"percuma kaya harta, tapi kalau miskin hati",netral,harta miskin hati,harta miskin hati
6b1MGWf2YmE,2025-04-25 02:13:05+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,sama2 tol.ol,positif,sama2 tol.ol,sama2 tol ol
6b1MGWf2YmE,2025-04-25 00:22:08+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tetap r 1 itu prabowo,netral,prabowo,prabowo
6b1MGWf2YmE,2025-04-24 13:37:23+00:00,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tu harga mobil sama platnya mahalan plat nomernya,positif,harga mobil platnya mahalan nomernya,harga mobil platnya mahal nomernya
6b1MGWf2YmE,2025-04-24 13:10:12+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"diajak satu lawan satu gak tuh 
sebenernya dia sedekah ke negara karna setiap dia keluar dia slalu kena tilang  trima kasih orang baik ",netral,diajak lawan sedekah negara karna kena tilang trima,ajak lawan sedekah negara karna kena tilang trima
6b1MGWf2YmE,2025-04-22 14:17:07+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"koenigseg vs brio 
jadi lebih sultan brio gitu?
wkwkwk",positif,koenigseg brio sultan brio,koenigseg brio sultan brio
6b1MGWf2YmE,2025-04-22 08:53:49+00:00,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"pemilik hypermobil esemka ""punten""",netral,pemilik hypermobil esemka punten,milik hypermobil esemka punten
6b1MGWf2YmE,2025-04-21 07:28:21+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"nomor cantik mobil tertuang dalam peraturan pemerintah (pp) nomor 60 tahun 2016 mengenai jenis dan tarif pnb (penerimaan negara bukan pajak) yang berlaku pada polri dan keputusan kakorlantas polri nomor : kep/166/vii/2019 tentang nrkb pilihan, plat nmr 1 digit dan tanpa huruf dibelakangnya dibandrol 20jt per 5 tahun, seandainya ada orang berminat dengan pelat nomor tersebut mungkin bisa saja menawar kepada pemilik sebelumnya dengan harga suka-suka. ",netral,nomor cantik mobil tertuang peraturan pemerintah pp nomor 60 2016 tarif pnb penerimaan negara berlaku polri keputusan kakorlantas polri nomor kep/166/vii/2019 nrkb pilihan nmr digit huruf dibelakangnya dibandrol 20jt seandainya berminat nomor menawar pemilik harga suka-suka,nomor cantik mobil tuang atur perintah pp nomor 60 2016 tarif pnb terima negara laku polri putus kakorlantas polri nomor kep 166 vii 2019 nrkb pilih nmr digit huruf belakang dibandrol 20jt anda minat nomor tawar milik harga suka
6b1MGWf2YmE,2025-04-20 16:02:29+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,emg mahal seh custom plat..gw aja custom plat mobil gw nama gw sama taon nikah gw kena 15jt cuk..tp bayar pajak nya biasa aja hehe tp ga tau ya kl plat 1 doank gtu..setahu gw kata sales nya yg paling mahal tu kl angka nya susah atw kembar gtu seh,negatif,mahal seh custom custom mobil nama taon nikah kena 15jt hehe doank gtu setahu mahal angka susah atw kembar gtu seh,mahal seh custom custom mobil nama taon nikah kena 15jt hehe doank gtu tahu mahal angka susah atw kembar gtu seh
6b1MGWf2YmE,2025-04-19 13:52:09+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,bikin di tukang plat 150rb kl yg bisa nyala akrilik 500rb. kaya kaya ndasmu,positif,tukang 150rb nyala akrilik 500rb,tukang 150rb nyala akrilik 500rb
6b1MGWf2YmE,2025-04-18 22:14:07+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"pernah dpt mobil accord dng plat no n 1 ko, pas tangan pertamanya tp waktu d jual ke saya plat no nya dah berganti byasa 4 digit....,..",negatif,dpt mobil accord dng n pas tangan pertamanya jual berganti byasa 4 digit,dpt mobil accord dng n pas tangan pertama jual ganti byasa 4 digit
6b1MGWf2YmE,2025-04-18 07:39:47+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,orang kaya itu yg melakukan 2 raka'at sebelum subuh.,netral,raka'at subuh,raka at subuh
6b1MGWf2YmE,2025-04-18 03:38:57+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,flat doang. goblok emang gengsi konoha,positif,flat doang goblok gengsi konoha,flat doang goblok gengsi konoha
6b1MGWf2YmE,2025-04-17 18:18:48+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,pajak plat aja ga nyampe pajak senna,positif,senna,senna
6b1MGWf2YmE,2025-04-17 08:19:18+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"harganya sama speknya beda yang pertama enak dipandang yang kedua biasa saja, yang pertama top speed yang kedua secepat motor beat, yang pertama impian semua orang, yang kedua semua orang hampir punya karena murah.",positif,speknya top speed secepat beat murah,speknya top speed cepat beat murah
6b1MGWf2YmE,2025-04-16 18:28:37+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,plat palsu cek di pajak gak ada,positif,palsu cek,palsu cek
