videoId,publishedAt,likeCount,video_title,hashtags,text,labelling 
b5ibmpuS0L4,2025-06-06T09:37:47Z,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,wah ini sih mobil kesukaan aku nih yang manual yang tahun 2024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,1
b5ibmpuS0L4,2025-04-15T13:18:52Z,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,mobil toyota agya ,1
b5ibmpuS0L4,2025-03-04T13:54:29Z,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,harganya berapa ni bos,2
b5ibmpuS0L4,2024-11-03T08:30:43Z,2,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,sayang banget buat videonya terlalu cepat terlalu pendek untuk lihat interiornya ,2
6b1MGWf2YmE,2025-06-08T10:11:37Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,lah emang berapa harga pasang plat begitu?,2
6b1MGWf2YmE,2025-06-07T12:30:34Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,di dubai udah disembah itu mah,3
6b1MGWf2YmE,2025-06-07T11:26:53Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"pas di tilang , cuma beli 150rb an sama tukang plat ",2
6b1MGWf2YmE,2025-06-06T11:44:26Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,buat apa tpi mobil kodok wkwkw,3
6b1MGWf2YmE,2025-06-05T12:20:19Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"wow mobil mu bagus 

wow plate mu bagus",1
6b1MGWf2YmE,2025-05-21T06:33:02Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tatataapi bang,2
6b1MGWf2YmE,2025-05-19T15:00:19Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,2
6b1MGWf2YmE,2025-05-16T07:20:05Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,p by one(b1),2
6b1MGWf2YmE,2025-05-16T01:58:31Z,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat.",3
6b1MGWf2YmE,2025-05-11T02:41:47Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,nah ini asli,1
6b1MGWf2YmE,2025-05-10T08:23:44Z,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,bukan brio terbaru pula tuh. itu kan brio  tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,2
