videoId,publishedAt,likeCount,video_title,hashtags,text,label sentiment,clean_teks,stem_teks
b5ibmpuS0L4,2025-06-06 09:37:47+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,wah ini sih mobil kesukaan aku nih yang manual yang tahun 2024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,negatif,kesukaan 2024 putih terbaru mobilnya nama,suka 2024 putih baru mobil nama
b5ibmpuS0L4,2025-04-15 13:18:52+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,mobil toyota agya ,negatif,,
b5ibmpuS0L4,2025-03-04 13:54:29+00:00,0,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,harganya berapa ni bos,netral,ni bos,ni bos
b5ibmpuS0L4,2024-11-03 08:30:43+00:00,2,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,#automobile,sayang banget buat videonya terlalu cepat terlalu pendek untuk lihat interiornya ,netral,sayang videonya cepat pendek lihat interiornya,sayang video cepat pendek lihat interior
6b1MGWf2YmE,2025-06-08 10:11:37+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,lah emang berapa harga pasang plat begitu?,netral,pasang,pasang
6b1MGWf2YmE,2025-06-07 12:30:34+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,di dubai udah disembah itu mah,positif,dubai disembah,dubai sembah
6b1MGWf2YmE,2025-06-07 11:26:53+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"pas di tilang , cuma beli 150rb an sama tukang plat ",netral,pas tilang 150rb tukang,pas tilang 150rb tukang
6b1MGWf2YmE,2025-06-06 11:44:26+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,buat apa tpi mobil kodok wkwkw,positif,kodok,kodok
6b1MGWf2YmE,2025-06-05 12:20:19+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"wow mobil mu bagus 

wow plate mu bagus",negatif,wow mu wow plate mu,wow mu wow plate mu
6b1MGWf2YmE,2025-05-21 06:33:02+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tatataapi bang,netral,tatataapi,tatataapi
6b1MGWf2YmE,2025-05-19 15:00:19+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,netral,peduli gtr r35 syukur seneng hehe,peduli gtr r35 syukur neng hehe
6b1MGWf2YmE,2025-05-16 07:20:05+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,p by one(b1),netral,p one,p one
6b1MGWf2YmE,2025-05-16 01:58:31+00:00,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat.",positif,saldo asetnya hubungan miskin menilai kekayaan nomor,saldo aset hubung miskin nilai kaya nomor
6b1MGWf2YmE,2025-05-11 02:41:47+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,nah ini asli,negatif,asli,asli
6b1MGWf2YmE,2025-05-10 08:23:44+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,bukan brio terbaru pula tuh. itu kan brio  tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,netral,terbaru astagah mahalan nopolnya drpd bulanannya dikalikan 12,baru astagah mahal nopolnya drpd bulan kali 12
6b1MGWf2YmE,2025-05-06 03:53:27+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,netral,tu miskin bersyukurlah,tu miskin syukur
6b1MGWf2YmE,2025-05-05 07:29:07+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,nggak mahal kalo masih saingan sama org susah coba kedubai saingannya org beneran kaya,netral,saingan org kedubai saingannya org beneran,saing org kedubai saing org beneran
6b1MGWf2YmE,2025-05-05 06:42:17+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,gak mungkin,netral,,
6b1MGWf2YmE,2025-05-04 11:41:52+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio lcgc...,positif,nomor miliar g koeniseg lambo aj,nomor miliar g koeniseg lambo aj
6b1MGWf2YmE,2025-05-04 07:08:57+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"mobil mobil ngebut tu ga cocok buat dijalan padat dan rame, entar malah nabrak bisa-bisa",positif,ngebut tu cocok dijalan padat rame entar nabrak bisa-bisa,ngebut tu cocok jalan padat rame entar nabrak bisa
6b1MGWf2YmE,2025-05-03 01:24:53+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,kata sprot car : anjay bisa kek gitu ya,netral,sprot kek,sprot kek
6b1MGWf2YmE,2025-04-27 00:05:41+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,wow,netral,wow,wow
6b1MGWf2YmE,2025-04-25 08:08:34+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,"percuma kaya harta, tapi kalau miskin hati",netral,harta miskin hati,harta miskin hati
6b1MGWf2YmE,2025-04-25 02:13:05+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,sama2 tol.ol,positif,sama2 tol.ol,sama2 tol ol
6b1MGWf2YmE,2025-04-25 00:22:08+00:00,0,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tetap r 1 itu prabowo,netral,prabowo,prabowo
6b1MGWf2YmE,2025-04-24 13:37:23+00:00,1,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,#exoticcarsbandung #shorts,tu harga mobil sama platnya mahalan plat nomernya,positif,tu platnya mahalan nomernya,tu platnya mahal nomernya
